,trip_distance,passenger_count,trip_duration,hour,day_of_week,month,is_weekend,avg_speed,fare_amount
trip_distance,1.0,0.011096742928086774,0.7708192941093782,-0.0447112347251836,-0.000814896975635029,0.00026925019538596816,-0.0074349140497870815,0.08777645589406556,0.956551091799908
passenger_count,0.011096742928086774,1.0,0.022197244550297857,0.0185586237435724,0.02103485624214503,0.006202930348788018,0.014056349808444382,-0.004351188550089901,0.015423797531400222
trip_duration,0.7708192941093782,0.022197244550297857,1.0,0.010774034572308177,-0.04073479855918077,0.0006120376569420949,-0.04601438609783513,-0.006317234223006937,0.8962575900023141
hour,-0.0447112347251836,0.0185586237435724,0.010774034572308177,1.0,0.10430401423934664,0.01295577540348711,0.04736332627134862,-0.015312199543081047,-0.025601090739494695
day_of_week,-0.000814896975635029,0.02103485624214503,-0.04073479855918077,0.10430401423934664,1.0,-0.01324414696292038,0.7730059796607389,0.007474212906615066,-0.020833859759225564
month,0.00026925019538596816,0.006202930348788018,0.0006120376569420949,0.01295577540348711,-0.01324414696292038,1.0,-0.007502352671200613,-5.331553749320242e-06,0.0003602362708367485
is_weekend,-0.0074349140497870815,0.014056349808444382,-0.04601438609783513,0.04736332627134862,0.7730059796607389,-0.007502352671200613,1.0,0.005854999294657766,-0.027127490405122218
avg_speed,0.08777645589406556,-0.004351188550089901,-0.006317234223006937,-0.015312199543081047,0.007474212906615066,-5.331553749320242e-06,0.005854999294657766,1.0,0.04636258970212544
fare_amount,0.956551091799908,0.015423797531400222,0.8962575900023141,-0.025601090739494695,-0.020833859759225564,0.0003602362708367485,-0.027127490405122218,0.04636258970212544,1.0
